GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MicroCol game classes,org.microcol.gui,UnitsPanel,187,0,2,0,29,0,4,0,3,0
MicroCol game classes,org.microcol.gui,AppleMenuListener,16,0,0,0,7,0,3,0,3,0
MicroCol game classes,org.microcol.gui,Localized,2,0,0,0,1,0,1,0,1,0
MicroCol game classes,org.microcol.gui,Text.Language,9,45,0,0,0,6,2,3,2,3
MicroCol game classes,org.microcol.gui,MicroColException,5,4,0,0,2,2,1,1,1,1
MicroCol game classes,org.microcol.gui,MusicPlayer,137,0,6,0,42,0,7,0,4,0
MicroCol game classes,org.microcol.gui,MainFramePresenter,73,0,2,0,14,0,3,0,2,0
MicroCol game classes,org.microcol.gui,PathPlanning,255,165,19,15,32,24,12,10,2,3
MicroCol game classes,org.microcol.gui,ImageProvider,54,64,3,5,13,14,3,5,1,3
MicroCol game classes,org.microcol.gui,StatusBarPresenter,82,0,0,0,18,0,5,0,5,0
MicroCol game classes,org.microcol.gui,MainFramePresenter.new KeyAdapter() {...},14,0,0,0,3,0,2,0,2,0
MicroCol game classes,org.microcol.gui,MainFramePresenter.new GameEventListener() {...},18,0,0,0,5,0,3,0,3,0
MicroCol game classes,org.microcol.gui,MainFramePresenter.new ComponentAdapter() {...},37,0,4,0,7,0,5,0,3,0
MicroCol game classes,org.microcol.gui,MicroColModule,207,0,0,0,42,0,3,0,3,0
MicroCol game classes,org.microcol.gui,RightPanelPresenter.new KeyAdapter() {...},14,0,0,0,3,0,2,0,2,0
MicroCol game classes,org.microcol.gui,MusicController,40,0,0,0,10,0,6,0,6,0
MicroCol game classes,org.microcol.gui,RightPanelPresenter.new MouseAdapter() {...},18,0,0,0,4,0,2,0,2,0
MicroCol game classes,org.microcol.gui,MainMenuPresenter,127,0,4,0,38,0,14,0,12,0
MicroCol game classes,org.microcol.gui,GamePreferences,140,0,0,0,36,0,13,0,13,0
MicroCol game classes,org.microcol.gui,RightPanelPresenter.new MouseAdapter() {...},18,0,0,0,3,0,2,0,2,0
MicroCol game classes,org.microcol.gui,FpsCounter,59,0,0,0,17,0,6,0,6,0
MicroCol game classes,org.microcol.gui,RightPanelPresenter,117,0,10,0,25,0,11,0,6,0
MicroCol game classes,org.microcol.gui,StatusBarPresenter.new MouseAdapter() {...},18,0,0,0,3,0,2,0,2,0
MicroCol game classes,org.microcol.gui,StatusBarPresenter.new MouseAdapter() {...},18,0,0,0,4,0,2,0,2,0
MicroCol game classes,org.microcol.gui,StatusBarView,104,0,0,0,12,0,3,0,3,0
MicroCol game classes,org.microcol.gui,MainPanelView,84,0,0,0,7,0,1,0,1,0
MicroCol game classes,org.microcol.gui,MainMenuView,450,0,4,0,88,0,15,0,13,0
MicroCol game classes,org.microcol.gui,MainFrameView,95,0,8,0,21,0,8,0,4,0
MicroCol game classes,org.microcol.gui,Text,0,36,0,0,0,9,0,4,0,4
MicroCol game classes,org.microcol.gui,ViewUtil,27,0,0,0,4,0,2,0,2,0
MicroCol game classes,org.microcol.gui,UnitsPanel.new MouseAdapter() {...},18,0,0,0,3,0,2,0,2,0
MicroCol game classes,org.microcol.gui,StepCounter,32,0,4,0,11,0,4,0,2,0
MicroCol game classes,org.microcol.gui,RightPanelView,347,0,2,0,50,0,6,0,5,0
MicroCol game classes,org.microcol.gui,PreferencesVolume,158,0,0,0,28,0,3,0,3,0
MicroCol game classes,org.microcol.gui,Point,55,98,4,4,8,15,9,9,5,9
MicroCol game classes,org.microcol.gui,WaitingDialog,141,0,0,0,23,0,2,0,2,0
MicroCol game classes,org.microcol.model,Player,125,0,6,0,32,0,18,0,15,0
MicroCol game classes,org.microcol.model,ShipsStorage,168,0,12,0,44,0,20,0,14,0
MicroCol game classes,org.microcol.model,Map,20,81,2,14,6,17,5,9,3,3
MicroCol game classes,org.microcol.model,Location,0,113,0,14,0,25,0,16,0,9
MicroCol game classes,org.microcol.model,Calendar,16,79,0,6,5,13,1,9,1,6
MicroCol game classes,org.microcol.model,Path,14,68,0,6,3,16,2,7,2,4
MicroCol game classes,org.microcol.model,Ship,219,0,12,0,42,0,15,0,9,0
MicroCol game classes,org.microcol.model,PathBuilder,15,25,0,0,4,6,3,3,3,3
MicroCol game classes,org.microcol.model,ModelListenersManager,105,0,2,0,33,0,14,0,13,0
MicroCol game classes,org.microcol.model,GameBuilder,117,0,8,0,20,0,11,0,7,0
MicroCol game classes,org.microcol.model,Game,223,0,10,0,53,0,24,0,19,0
